NAME	TITLE	SCORE	
CPXM2	carboxypeptidase X, M14 family member 2 [Source:HGNC Symbol;Acc:HGNC:26977]	1.9495054	
CD53	CD53 molecule [Source:HGNC Symbol;Acc:HGNC:1686]	1.9467162	
ACP3	acid phosphatase 3 [Source:HGNC Symbol;Acc:HGNC:125]	1.9446558	
STRA6LP	STRA6 like, pseudogene [Source:HGNC Symbol;Acc:HGNC:53830]	1.9437969	
LGALS3	galectin 3 [Source:HGNC Symbol;Acc:HGNC:6563]	1.9433328	
DHCR24	24-dehydrocholesterol reductase [Source:HGNC Symbol;Acc:HGNC:2859]	1.9326909	
KLRG2	killer cell lectin like receptor G2 [Source:HGNC Symbol;Acc:HGNC:24778]	1.9245304	
SERPINB2	serpin family B member 2 [Source:HGNC Symbol;Acc:HGNC:8584]	1.9244825	
GCNT4	glucosaminyl (N-acetyl) transferase 4 [Source:HGNC Symbol;Acc:HGNC:17973]	1.9236627	
RBP7	retinol binding protein 7 [Source:HGNC Symbol;Acc:HGNC:30316]	1.921748	
CEACAM19	CEA cell adhesion molecule 19 [Source:HGNC Symbol;Acc:HGNC:31951]	1.9197056	
COL25A1	collagen type XXV alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:18603]	1.9168363	
HS3ST3A1	heparan sulfate-glucosamine 3-sulfotransferase 3A1 [Source:HGNC Symbol;Acc:HGNC:5196]	1.9130659	
NECTIN3	nectin cell adhesion molecule 3 [Source:HGNC Symbol;Acc:HGNC:17664]	1.9119269	
TYROBP	transmembrane immune signaling adaptor TYROBP [Source:HGNC Symbol;Acc:HGNC:12449]	1.9108526	
SLAMF7	SLAM family member 7 [Source:HGNC Symbol;Acc:HGNC:21394]	1.9059997	
PLB1	phospholipase B1 [Source:HGNC Symbol;Acc:HGNC:30041]	1.9056921	
FAM181A	family with sequence similarity 181 member A [Source:HGNC Symbol;Acc:HGNC:20491]	1.9009857	
GLIPR1	GLI pathogenesis related 1 [Source:HGNC Symbol;Acc:HGNC:17001]	1.8990989	
ITGB2	integrin subunit beta 2 [Source:HGNC Symbol;Acc:HGNC:6155]	1.8975581	
PBK	PDZ binding kinase [Source:HGNC Symbol;Acc:HGNC:18282]	1.8963342	
OLFM1	olfactomedin 1 [Source:HGNC Symbol;Acc:HGNC:17187]	1.8931979	
MKI67	marker of proliferation Ki-67 [Source:HGNC Symbol;Acc:HGNC:7107]	1.8903106	
RIMS1	regulating synaptic membrane exocytosis 1 [Source:HGNC Symbol;Acc:HGNC:17282]	1.88533	
SHH	sonic hedgehog signaling molecule [Source:HGNC Symbol;Acc:HGNC:10848]	1.8800331	
TNFAIP8L2	TNF alpha induced protein 8 like 2 [Source:HGNC Symbol;Acc:HGNC:26277]	1.8791019	
CD84	CD84 molecule [Source:HGNC Symbol;Acc:HGNC:1704]	1.87375	
CTSB	cathepsin B [Source:HGNC Symbol;Acc:HGNC:2527]	1.8709737	
FAM171A2	family with sequence similarity 171 member A2 [Source:HGNC Symbol;Acc:HGNC:30480]	1.8638058	
GREM1	gremlin 1, DAN family BMP antagonist [Source:HGNC Symbol;Acc:HGNC:2001]	1.8516554	
TUBB6	tubulin beta 6 class V [Source:HGNC Symbol;Acc:HGNC:20776]	1.8495152	
LCN2	lipocalin 2 [Source:HGNC Symbol;Acc:HGNC:6526]	1.8437563	
CTSK	cathepsin K [Source:HGNC Symbol;Acc:HGNC:2536]	1.8432918	
PROKR2	prokineticin receptor 2 [Source:HGNC Symbol;Acc:HGNC:15836]	1.8405333	
CCR7	C-C motif chemokine receptor 7 [Source:HGNC Symbol;Acc:HGNC:1608]	1.8395169	
CP	ceruloplasmin [Source:HGNC Symbol;Acc:HGNC:2295]	1.835981	
PTPRCAP	protein tyrosine phosphatase receptor type C associated protein [Source:HGNC Symbol;Acc:HGNC:9667]	1.8342673	
SLFN13	schlafen family member 13 [Source:HGNC Symbol;Acc:HGNC:26481]	1.8263409	
CDCA7L	cell division cycle associated 7 like [Source:HGNC Symbol;Acc:HGNC:30777]	1.8206977	
ITGA4	integrin subunit alpha 4 [Source:HGNC Symbol;Acc:HGNC:6140]	1.8197927	
CES5A	carboxylesterase 5A [Source:HGNC Symbol;Acc:HGNC:26459]	1.8187524	
CDCA2	cell division cycle associated 2 [Source:HGNC Symbol;Acc:HGNC:14623]	1.8179923	
HEXA	hexosaminidase subunit alpha [Source:HGNC Symbol;Acc:HGNC:4878]	1.8131565	
SINHCAF	SIN3-HDAC complex associated factor [Source:HGNC Symbol;Acc:HGNC:30702]	1.8100203	
PILRA	paired immunoglobin like type 2 receptor alpha [Source:HGNC Symbol;Acc:HGNC:20396]	1.8022627	
BST1	bone marrow stromal cell antigen 1 [Source:HGNC Symbol;Acc:HGNC:1118]	1.8013535	
EPHB3	EPH receptor B3 [Source:HGNC Symbol;Acc:HGNC:3394]	1.7932684	
CDK1	cyclin dependent kinase 1 [Source:HGNC Symbol;Acc:HGNC:1722]	1.7928932	
ITGAX	integrin subunit alpha X [Source:HGNC Symbol;Acc:HGNC:6152]	1.7923551	
KRTAP17-1	keratin associated protein 17-1 [Source:HGNC Symbol;Acc:HGNC:18917]	1.7910893	
CT55	cancer/testis antigen 55 [Source:HGNC Symbol;Acc:HGNC:26047]	1.7886494	
CDKN1A	cyclin dependent kinase inhibitor 1A [Source:HGNC Symbol;Acc:HGNC:1784]	1.7883891	
GABRA3	gamma-aminobutyric acid type A receptor subunit alpha3 [Source:HGNC Symbol;Acc:HGNC:4077]	1.7870386	
CCL22	C-C motif chemokine ligand 22 [Source:HGNC Symbol;Acc:HGNC:10621]	1.779744	
CCL7	C-C motif chemokine ligand 7 [Source:HGNC Symbol;Acc:HGNC:10634]	1.7757254	
TMEM35A	transmembrane protein 35A [Source:HGNC Symbol;Acc:HGNC:25864]	1.7743473	
PRRG4	proline rich and Gla domain 4 [Source:HGNC Symbol;Acc:HGNC:30799]	1.7722452	
AURKB	aurora kinase B [Source:HGNC Symbol;Acc:HGNC:11390]	1.7622327	
SPP1	secreted phosphoprotein 1 [Source:HGNC Symbol;Acc:HGNC:11255]	1.7601006	
SERPINB10	serpin family B member 10 [Source:HGNC Symbol;Acc:HGNC:8942]	1.7593312	
HCK	HCK proto-oncogene, Src family tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:4840]	1.758446	
TBC1D2	TBC1 domain family member 2 [Source:HGNC Symbol;Acc:HGNC:18026]	1.7574378	
NUF2	NUF2 component of NDC80 kinetochore complex [Source:HGNC Symbol;Acc:HGNC:14621]	1.7572267	
TMPRSS13	transmembrane serine protease 13 [Source:HGNC Symbol;Acc:HGNC:29808]	1.7436097	
RASGRP3	RAS guanyl releasing protein 3 [Source:HGNC Symbol;Acc:HGNC:14545]	1.7356594	
MS4A7	membrane spanning 4-domains A7 [Source:HGNC Symbol;Acc:HGNC:13378]	1.731822	
ANXA1	annexin A1 [Source:HGNC Symbol;Acc:HGNC:533]	1.7246927	
CAPG	capping actin protein, gelsolin like [Source:HGNC Symbol;Acc:HGNC:1474]	1.7227436	
TOP2A	DNA topoisomerase II alpha [Source:HGNC Symbol;Acc:HGNC:11989]	1.7215345	
C15orf48	chromosome 15 open reading frame 48 [Source:HGNC Symbol;Acc:HGNC:29898]	1.7201595	
LIPN	lipase family member N [Source:HGNC Symbol;Acc:HGNC:23452]	1.7158763	
SOD3	superoxide dismutase 3 [Source:HGNC Symbol;Acc:HGNC:11181]	1.7113745	
ARHGAP11A	Rho GTPase activating protein 11A [Source:HGNC Symbol;Acc:HGNC:15783]	1.7105379	
SMC2	structural maintenance of chromosomes 2 [Source:HGNC Symbol;Acc:HGNC:14011]	1.7085967	
MPEG1	macrophage expressed 1 [Source:HGNC Symbol;Acc:HGNC:29619]	1.7072822	
CCDC83	coiled-coil domain containing 83 [Source:HGNC Symbol;Acc:HGNC:28535]	1.7052152	
SYK	spleen associated tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:11491]	1.6994634	
EPHX4	epoxide hydrolase 4 [Source:HGNC Symbol;Acc:HGNC:23758]	1.6973326	
SLC22A15	solute carrier family 22 member 15 [Source:HGNC Symbol;Acc:HGNC:20301]	1.6965892	
TNFSF18	TNF superfamily member 18 [Source:HGNC Symbol;Acc:HGNC:11932]	1.6959985	
CDCA3	cell division cycle associated 3 [Source:HGNC Symbol;Acc:HGNC:14624]	1.6929799	
KRT8	keratin 8 [Source:HGNC Symbol;Acc:HGNC:6446]	1.6911646	
CTSS	cathepsin S [Source:HGNC Symbol;Acc:HGNC:2545]	1.6901672	
PLAT	plasminogen activator, tissue type [Source:HGNC Symbol;Acc:HGNC:9051]	1.6884474	
PCTP	phosphatidylcholine transfer protein [Source:HGNC Symbol;Acc:HGNC:8752]	1.675414	
CD200R1	CD200 receptor 1 [Source:HGNC Symbol;Acc:HGNC:24235]	1.6718566	
CTSD	cathepsin D [Source:HGNC Symbol;Acc:HGNC:2529]	1.6710799	
GRP	gastrin releasing peptide [Source:HGNC Symbol;Acc:HGNC:4605]	1.6701703	
RAB38	RAB38, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9776]	1.6693175	
TBXAS1	thromboxane A synthase 1 [Source:HGNC Symbol;Acc:HGNC:11609]	1.6685472	
FGR	FGR proto-oncogene, Src family tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:3697]	1.6641368	
SLA	Src like adaptor [Source:HGNC Symbol;Acc:HGNC:10902]	1.6573428	
SLC6A4	solute carrier family 6 member 4 [Source:HGNC Symbol;Acc:HGNC:11050]	1.6562939	
TNFSF4	TNF superfamily member 4 [Source:HGNC Symbol;Acc:HGNC:11934]	1.6556846	
RAD54L	RAD54 like [Source:HGNC Symbol;Acc:HGNC:9826]	1.6485903	
TBX20	T-box transcription factor 20 [Source:HGNC Symbol;Acc:HGNC:11598]	1.6425235	
TPX2	TPX2 microtubule nucleation factor [Source:HGNC Symbol;Acc:HGNC:1249]	1.6380324	
SOCS3	suppressor of cytokine signaling 3 [Source:HGNC Symbol;Acc:HGNC:19391]	1.6379555	
OASL	2'-5'-oligoadenylate synthetase like [Source:HGNC Symbol;Acc:HGNC:8090]	1.6378348	
JAG1	jagged canonical Notch ligand 1 [Source:HGNC Symbol;Acc:HGNC:6188]	1.6365739	
TIMP1	TIMP metallopeptidase inhibitor 1 [Source:HGNC Symbol;Acc:HGNC:11820]	1.6358862	
MBNL3	muscleblind like splicing regulator 3 [Source:HGNC Symbol;Acc:HGNC:20564]	1.6350379	
DGKB	diacylglycerol kinase beta [Source:HGNC Symbol;Acc:HGNC:2850]	1.6341718	
MPZL3	myelin protein zero like 3 [Source:HGNC Symbol;Acc:HGNC:27279]	1.6324373	
DAPL1	death associated protein like 1 [Source:HGNC Symbol;Acc:HGNC:21490]	1.6322302	
NRROS	negative regulator of reactive oxygen species [Source:HGNC Symbol;Acc:HGNC:24613]	1.6291356	
IFFO2	intermediate filament family orphan 2 [Source:HGNC Symbol;Acc:HGNC:27006]	1.6255856	
ANXA2	annexin A2 [Source:HGNC Symbol;Acc:HGNC:537]	1.6250025	
GTSE1	G2 and S-phase expressed 1 [Source:HGNC Symbol;Acc:HGNC:13698]	1.6230315	
PTPN7	protein tyrosine phosphatase non-receptor type 7 [Source:HGNC Symbol;Acc:HGNC:9659]	1.6199598	
SGO1	shugoshin 1 [Source:HGNC Symbol;Acc:HGNC:25088]	1.6174526	
CKS2	CDC28 protein kinase regulatory subunit 2 [Source:HGNC Symbol;Acc:HGNC:2000]	1.6101404	
OSM	oncostatin M [Source:HGNC Symbol;Acc:HGNC:8506]	1.6086107	
CHRDL1	chordin like 1 [Source:HGNC Symbol;Acc:HGNC:29861]	1.6041048	
S100A6	S100 calcium binding protein A6 [Source:HGNC Symbol;Acc:HGNC:10496]	1.6040809	
UCP2	uncoupling protein 2 [Source:HGNC Symbol;Acc:HGNC:12518]	1.6031274	
SLC34A2	solute carrier family 34 member 2 [Source:HGNC Symbol;Acc:HGNC:11020]	1.5993174	
CCN5	cellular communication network factor 5 [Source:HGNC Symbol;Acc:HGNC:12770]	1.5949882	
IL4I1	interleukin 4 induced 1 [Source:HGNC Symbol;Acc:HGNC:19094]	1.594944	
PTGS2	prostaglandin-endoperoxide synthase 2 [Source:HGNC Symbol;Acc:HGNC:9605]	1.5931892	
STMN1	stathmin 1 [Source:HGNC Symbol;Acc:HGNC:6510]	1.593135	
PHETA1	PH domain containing endocytic trafficking adaptor 1 [Source:HGNC Symbol;Acc:HGNC:26509]	1.5908269	
LRRC8C	leucine rich repeat containing 8 VRAC subunit C [Source:HGNC Symbol;Acc:HGNC:25075]	1.5884304	
TACSTD2	tumor associated calcium signal transducer 2 [Source:HGNC Symbol;Acc:HGNC:11530]	1.588011	
NCAPH	non-SMC condensin I complex subunit H [Source:HGNC Symbol;Acc:HGNC:1112]	1.5863752	
SH3TC2	SH3 domain and tetratricopeptide repeats 2 [Source:HGNC Symbol;Acc:HGNC:29427]	1.586188	
HELLS	helicase, lymphoid specific [Source:HGNC Symbol;Acc:HGNC:4861]	1.5802625	
FCGR3A	Fc fragment of IgG receptor IIIa [Source:HGNC Symbol;Acc:HGNC:3619]	1.5777018	
IKZF1	IKAROS family zinc finger 1 [Source:HGNC Symbol;Acc:HGNC:13176]	1.5747579	
NAAA	N-acylethanolamine acid amidase [Source:HGNC Symbol;Acc:HGNC:736]	1.56651	
CSRP1	cysteine and glycine rich protein 1 [Source:HGNC Symbol;Acc:HGNC:2469]	1.564655	
TAGLN2	transgelin 2 [Source:HGNC Symbol;Acc:HGNC:11554]	1.5646162	
KRT18	keratin 18 [Source:HGNC Symbol;Acc:HGNC:6430]	1.5626124	
CYBB	cytochrome b-245 beta chain [Source:HGNC Symbol;Acc:HGNC:2578]	1.5620402	
BIRC5	baculoviral IAP repeat containing 5 [Source:HGNC Symbol;Acc:HGNC:593]	1.5619575	
GCNT3	glucosaminyl (N-acetyl) transferase 3, mucin type [Source:HGNC Symbol;Acc:HGNC:4205]	1.5609678	
PLAUR	plasminogen activator, urokinase receptor [Source:HGNC Symbol;Acc:HGNC:9053]	1.5608213	
USP35	ubiquitin specific peptidase 35 [Source:HGNC Symbol;Acc:HGNC:20061]	1.5605636	
TM4SF19	transmembrane 4 L six family member 19 [Source:HGNC Symbol;Acc:HGNC:25167]	1.5559824	
HGF	hepatocyte growth factor [Source:HGNC Symbol;Acc:HGNC:4893]	1.5485598	
CCL23	C-C motif chemokine ligand 23 [Source:HGNC Symbol;Acc:HGNC:10622]	1.5444562	
OLR1	oxidized low density lipoprotein receptor 1 [Source:HGNC Symbol;Acc:HGNC:8133]	1.5443704	
APOE	apolipoprotein E [Source:HGNC Symbol;Acc:HGNC:613]	1.5432023	
HDDC3	HD domain containing 3 [Source:HGNC Symbol;Acc:HGNC:30522]	1.5417737	
EPPK1	epiplakin 1 [Source:HGNC Symbol;Acc:HGNC:15577]	1.541185	
KLHL42	kelch like family member 42 [Source:HGNC Symbol;Acc:HGNC:29252]	1.5395272	
KIF18B	kinesin family member 18B [Source:HGNC Symbol;Acc:HGNC:27102]	1.5394726	
LSR	lipolysis stimulated lipoprotein receptor [Source:HGNC Symbol;Acc:HGNC:29572]	1.5391557	
RNASE2	ribonuclease A family member 2 [Source:HGNC Symbol;Acc:HGNC:10045]	1.5386032	
ZDHHC14	zinc finger DHHC-type palmitoyltransferase 14 [Source:HGNC Symbol;Acc:HGNC:20341]	1.5369712	
CYBA	cytochrome b-245 alpha chain [Source:HGNC Symbol;Acc:HGNC:2577]	1.5358309	
LILRB4	leukocyte immunoglobulin like receptor B4 [Source:HGNC Symbol;Acc:HGNC:6608]	1.5354513	
FXYD5	FXYD domain containing ion transport regulator 5 [Source:HGNC Symbol;Acc:HGNC:4029]	1.5333313	
SIRPB3P	signal regulatory protein beta 3, pseudogene [Source:HGNC Symbol;Acc:HGNC:49209]	1.5317028	
FCGR2A	Fc fragment of IgG receptor IIa [Source:HGNC Symbol;Acc:HGNC:3616]	1.5316892	
OR5V1	olfactory receptor family 5 subfamily V member 1 [Source:HGNC Symbol;Acc:HGNC:13972]	1.5315403	
CAMK1D	calcium/calmodulin dependent protein kinase ID [Source:HGNC Symbol;Acc:HGNC:19341]	1.5313172	
S100A10	S100 calcium binding protein A10 [Source:HGNC Symbol;Acc:HGNC:10487]	1.5280439	
PKP3	plakophilin 3 [Source:HGNC Symbol;Acc:HGNC:9025]	1.5279884	
RPL41	ribosomal protein L41 [Source:HGNC Symbol;Acc:HGNC:10354]	1.5275018	
PRSS33	serine protease 33 [Source:HGNC Symbol;Acc:HGNC:30405]	1.5264163	
IL1A	interleukin 1 alpha [Source:HGNC Symbol;Acc:HGNC:5991]	1.5263909	
KIF23	kinesin family member 23 [Source:HGNC Symbol;Acc:HGNC:6392]	1.5235045	
TRIM59	tripartite motif containing 59 [Source:HGNC Symbol;Acc:HGNC:30834]	1.5194087	
ACOT1	acyl-CoA thioesterase 1 [Source:HGNC Symbol;Acc:HGNC:33128]	1.5181143	
ATP1A3	ATPase Na+/K+ transporting subunit alpha 3 [Source:HGNC Symbol;Acc:HGNC:801]	1.5167962	
XAF1	XIAP associated factor 1 [Source:HGNC Symbol;Acc:HGNC:30932]	1.5157893	
LBP	lipopolysaccharide binding protein [Source:HGNC Symbol;Acc:HGNC:6517]	1.5143201	
ISG15	ISG15 ubiquitin like modifier [Source:HGNC Symbol;Acc:HGNC:4053]	1.5124342	
SP5	Sp5 transcription factor [Source:HGNC Symbol;Acc:HGNC:14529]	1.5118241	
CDCA8	cell division cycle associated 8 [Source:HGNC Symbol;Acc:HGNC:14629]	1.5118076	
PPP1R14D	protein phosphatase 1 regulatory inhibitor subunit 14D [Source:HGNC Symbol;Acc:HGNC:14953]	1.5105101	
IL7	interleukin 7 [Source:HGNC Symbol;Acc:HGNC:6023]	1.5085504	
IQGAP3	IQ motif containing GTPase activating protein 3 [Source:HGNC Symbol;Acc:HGNC:20669]	1.507236	
CTPS1	CTP synthase 1 [Source:HGNC Symbol;Acc:HGNC:2519]	1.5071552	
CCDC177	coiled-coil domain containing 177 [Source:HGNC Symbol;Acc:HGNC:23243]	1.5069597	
CCL3	C-C motif chemokine ligand 3 [Source:HGNC Symbol;Acc:HGNC:10627]	1.5069013	
PLAU	plasminogen activator, urokinase [Source:HGNC Symbol;Acc:HGNC:9052]	1.5068891	
ZC3H12D	zinc finger CCCH-type containing 12D [Source:HGNC Symbol;Acc:HGNC:21175]	1.5061526	
MIR155HG	MIR155 host gene [Source:HGNC Symbol;Acc:HGNC:35460]	1.5060967	
TRPV4	transient receptor potential cation channel subfamily V member 4 [Source:HGNC Symbol;Acc:HGNC:18083]	1.5060902	
HLA-B	major histocompatibility complex, class I, B [Source:HGNC Symbol;Acc:HGNC:4932]	1.5055646	
TNFSF11	TNF superfamily member 11 [Source:HGNC Symbol;Acc:HGNC:11926]	1.5037568	
LAPTM5	lysosomal protein transmembrane 5 [Source:HGNC Symbol;Acc:HGNC:29612]	1.5033728	
NRM	nurim [Source:HGNC Symbol;Acc:HGNC:8003]	1.4992032	
HUNK	hormonally up-regulated Neu-associated kinase [Source:HGNC Symbol;Acc:HGNC:13326]	1.4975781	
CARD9	caspase recruitment domain family member 9 [Source:HGNC Symbol;Acc:HGNC:16391]	1.4968448	
PSMB8	proteasome 20S subunit beta 8 [Source:HGNC Symbol;Acc:HGNC:9545]	1.4946271	
PRSS46P	serine protease 46, pseudogene [Source:HGNC Symbol;Acc:HGNC:37325]	1.4937345	
CCR2	C-C motif chemokine receptor 2 [Source:HGNC Symbol;Acc:HGNC:1603]	1.4930065	
DTL	denticleless E3 ubiquitin protein ligase homolog [Source:HGNC Symbol;Acc:HGNC:30288]	1.4924717	
SRGN	serglycin [Source:HGNC Symbol;Acc:HGNC:9361]	1.4918572	
